country_or_region,year,variable,generation_twh
Europe,2013,Wind,248.06
Europe,2013,Wind and solar,334.91
Europe,2014,Bioenergy,169.58
Europe,2014,Clean,2526.62
Europe,2014,Coal,1131.73
Europe,2014,Fossil,2415.63
Europe,2014,Gas,1126.81
Europe,2014,Hydro,813.85
Europe,2014,Nuclear,1161.34
Europe,2014,Other Fossil,157.09
Europe,2014,Other Renewables,15.95
Europe,2014,Solar,99.13
Europe,2014,Wind,266.77
Europe,2014,Wind and solar,365.9
Europe,2015,Bioenergy,181.42
Europe,2015,Clean,2579.19
Europe,2015,Coal,1111.14
Europe,2015,Fossil,2407.83
Europe,2015,Gas,1137.48
Europe,2015,Hydro,800.82
Europe,2015,Nuclear,1150.56
Europe,2015,Other Fossil,159.21
Europe,2015,Other Renewables,17.08
Europe,2015,Solar,109.91
Europe,2015,Wind,319.4
Europe,2015,Wind and solar,429.31
Europe,2016,Bioenergy,184.38
Europe,2016,Clean,2599.07
Europe,2016,Coal,1052.93
Europe,2016,Fossil,2448.72
Europe,2016,Gas,1232.86
Europe,2016,Hydro,832.51
Europe,2016,Nuclear,1125.83
Europe,2016,Other Fossil,162.93
Europe,2016,Other Renewables,18.74
Europe,2016,Solar,114.3
Europe,2016,Wind,323.31
Europe,2016,Wind and solar,437.61
Europe,2017,Bioenergy,189.59
Europe,2017,Clean,2611.5
Europe,2017,Coal,1020.48
Europe,2017,Fossil,2477.83
Europe,2017,Gas,1301.78
Europe,2017,Hydro,766.18
Europe,2017,Nuclear,1125.82
Europe,2017,Other Fossil,155.57
Europe,2017,Other Renewables,19.91
Europe,2017,Solar,124.77
Europe,2017,Wind,385.23
Europe,2017,Wind and solar,510
Europe,2018,Bioenergy,195.07
Europe,2018,Clean,2709.62
Europe,2018,Coal,988.73
Europe,2018,Fossil,2397.48
Europe,2018,Gas,1259.98
Europe,2018,Hydro,831.9
Europe,2018,Nuclear,1118.67
Europe,2018,Other Fossil,148.77
Europe,2018,Other Renewables,21.92
Europe,2018,Solar,138.26
Europe,2018,Wind,403.8
Europe,2018,Wind and solar,542.06
Europe,2019,Bioenergy,202.95
Europe,2019,Clean,2788.95
Europe,2019,Coal,840.75
Europe,2019,Fossil,2273.61
Europe,2019,Gas,1294.97
Europe,2019,Hydro,820.21
Europe,2019,Nuclear,1126.48
Europe,2019,Other Fossil,137.89
Europe,2019,Other Renewables,23.57
Europe,2019,Solar,152.88
Europe,2019,Wind,462.86
Europe,2019,Wind and solar,615.74
Europe,2020,Bioenergy,209.77
Europe,2020,Clean,2848.03
Europe,2020,Coal,716.82
Europe,2020,Fossil,2075.99
Europe,2020,Gas,1231.68
Europe,2020,Hydro,868.9
Europe,2020,Nuclear,1050.09
Europe,2020,Other Fossil,127.49
Europe,2020,Other Renewables,24.71
Europe,2020,Solar,179.7
Europe,2020,Wind,514.86
Europe,2020,Wind and solar,694.56
Europe,2021,Bioenergy,220.74
Europe,2021,Clean,2918.72
Europe,2021,Coal,781.06
Europe,2021,Fossil,2227.32
Europe,2021,Gas,1316.42
Europe,2021,Hydro,861.94
Europe,2021,Nuclear,1111.48
Europe,2021,Other Fossil,129.84
Europe,2021,Other Renewables,25.05
Europe,2021,Solar,194.92
Europe,2021,Wind,504.59
Europe,2021,Wind and solar,699.51
Europe,2022,Bioenergy,211.3
Europe,2022,Clean,2776.93
Europe,2022,Coal,820.54
Europe,2022,Fossil,2234.92
Europe,2022,Gas,1278.08
Europe,2022,Hydro,760.2
Europe,2022,Nuclear,972.66
Europe,2022,Other Fossil,136.3
Europe,2022,Other Renewables,25.14
Europe,2022,Solar,247.63
Europe,2022,Wind,560
Europe,2022,Wind and solar,807.63
